City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Villa Gesell,AR,58.05,overcast clouds,-37.2639,-56.973,Hotel Bella Vista
406,Tamanrasset,DZ,82.31,scattered clouds,22.785,5.5228,Complexe Tourisque Bois Pétrifié
407,Hammerfest,NO,54.05,moderate rain,70.6634,23.6821,Skytterhuset
408,Wuwei,CN,64.89,clear sky,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
409,Tshabong,BW,60.89,clear sky,-26.05,22.45,Garden View
410,Zhezqazghan,KZ,62.02,overcast clouds,47.7833,67.7667,Cosmos
413,Sandnessjoen,NO,55.92,light rain,66.0217,12.6316,Syv Søstre Apartments
414,Neiafu,TO,73.92,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
415,Podebrady,CZ,59.49,overcast clouds,50.1424,15.1188,Spa Hotel Felicitas
416,Ketchikan,US,63.07,haze,55.3422,-131.6461,Snow's Cove Lodge
417,Portage La Prairie,CA,62.69,overcast clouds,49.9728,-98.2926,Howard Johnson by Wyndham Portage La Prairie
418,Verkhnevilyuysk,RU,59.32,broken clouds,63.4453,120.3167,Gostinitsa Mila
419,Kenai,US,57.15,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
421,Thaton,MM,77.38,overcast clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
422,Manokwari,ID,79.02,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
423,Porto Novo,BJ,78.62,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
424,Abaza,RU,55.42,light rain,52.655,90.0928,Гостевой дом «Кедровый»
425,Deschutes River Woods,US,68.94,haze,43.9915,-121.3584,Tetherow
426,Bridgewater,CA,72.68,overcast clouds,44.3835,-64.5155,Comfort Inn
428,Jinxiang,CN,78.73,overcast clouds,27.4327,120.6062,Wolong Village
430,Yermakovskoye,RU,59.86,overcast clouds,53.2831,92.4003,"Oya, Gostinitsa"
432,Cidreira,BR,59.92,clear sky,-30.1811,-50.2056,Hotel Castelo
433,Jangaon,IN,76.55,clear sky,17.7167,79.1833,Gabbeta real estate
434,Saint-Joseph,RE,71.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
435,Krasnokamensk,RU,54.82,broken clouds,50.0979,118.0369,Tsentral'naya
437,Saipan,MP,79.5,overcast clouds,15.1355,145.701,Surfrider Resort Hotel
438,Siavonga,ZM,69.4,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
439,General Acha,AR,67.24,overcast clouds,-37.377,-64.6043,Hotel Anay Ruca
440,Khanty-Mansiysk,RU,53.71,few clouds,61.0042,69.0019,Hotel Kristall
441,Beledweyne,SO,81.14,broken clouds,4.7358,45.2036,Hotel Madiina beledweyn
