City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
120,Revda,RU,23-08-28 14:50:25,56.801,59.9303,47.62,97,100,8.59,moderate rain
121,Uturoa,PF,23-08-28 14:50:25,-16.7333,-151.4333,78.1,73,10,2.73,clear sky
122,Gutao,CN,23-08-28 14:50:26,37.2025,112.1781,64.33,57,0,3.56,clear sky
123,Puerto Ayora,EC,23-08-28 14:50:26,-0.7393,-90.3518,80.56,88,100,8.01,overcast clouds
124,Talnakh,RU,23-08-28 14:50:27,69.4865,88.3972,52.21,87,14,5.7,few clouds
125,Polyarnyy,RU,23-08-28 14:50:27,69.1989,33.4478,56.16,70,14,3.78,few clouds
126,Timimoun,DZ,23-08-28 14:50:27,29.2639,0.231,107.98,13,100,1.14,haze
127,Tvoroyri,FO,23-08-28 14:50:27,61.5556,-6.8111,52.45,97,100,12.68,light rain
128,La Ronge,CA,23-08-28 14:50:28,55.1001,-105.2842,62.82,82,75,9.22,smoke
129,Arteaga,MX,23-08-28 14:50:28,18.4667,-102.4167,70.38,81,32,1.43,scattered clouds
130,Santa Vitoria Do Palmar,BR,23-08-28 14:50:28,-33.5189,-53.3681,56.41,60,37,3.44,scattered clouds
131,Ancud,CL,23-08-28 14:50:29,-41.8697,-73.8203,48.79,77,8,10.76,light rain
132,Punta Arenas,CL,23-08-28 14:50:17,-53.15,-70.9167,41.65,77,62,14.61,broken clouds
133,Saint-Francois,FR,23-08-28 14:50:29,46.4154,3.9054,70.68,49,20,14.97,few clouds
134,Fortuna,US,23-08-28 14:50:29,40.5982,-124.1573,57.92,94,100,6.91,overcast clouds
135,Teluk Nibung,ID,23-08-28 14:50:30,3.001,99.8164,75.74,94,80,6.69,broken clouds
136,San Patricio,US,23-08-28 14:50:30,28.017,-97.5169,89.91,50,2,5.41,clear sky
137,Badger,US,23-08-28 14:50:31,64.8,-147.5333,48.11,95,100,0.0,overcast clouds
138,Nyurba,RU,23-08-28 14:50:31,63.2842,118.3319,61.75,69,91,2.42,overcast clouds
139,Hono,SE,23-08-28 14:50:31,57.6897,11.6497,66.49,80,3,11.07,clear sky
140,Rawson,AR,23-08-28 14:50:32,-43.3002,-65.1023,58.73,43,100,23.24,overcast clouds
141,Ta`U,AS,23-08-28 14:50:32,-14.2336,-169.5144,77.97,80,86,25.37,overcast clouds
142,Jackson,US,23-08-28 14:46:46,42.4165,-122.8345,61.86,75,100,0.0,haze
143,Barra De Santo Antonio,BR,23-08-28 14:51:33,-9.4047,-35.5072,85.28,61,1,5.97,clear sky
144,Santona,ES,23-08-28 14:51:33,43.4439,-3.4576,71.91,82,91,17.74,light rain
145,Blackmans Bay,AU,23-08-28 14:51:34,-43.0167,147.3167,48.69,80,82,5.88,light rain
146,Constantia,RO,23-08-28 14:51:34,44.1833,28.65,90.7,50,0,8.55,clear sky
147,Chu,KZ,23-08-28 14:51:35,43.5983,73.7614,58.51,66,6,12.8,clear sky
148,Al Jawf,SA,23-08-28 14:51:35,29.5,38.75,94.48,11,3,13.91,clear sky
149,Kimbe,PG,23-08-28 14:51:35,-5.5502,150.1429,76.59,87,48,6.42,scattered clouds
150,Susuman,RU,23-08-28 14:51:36,62.7833,148.1667,41.61,88,30,2.3,scattered clouds
151,Nadym,RU,23-08-28 14:51:36,65.5333,72.5167,54.68,64,23,8.86,few clouds
152,Los Frentones,AR,23-08-28 14:51:37,-26.4077,-61.4137,69.3,21,1,6.64,clear sky
153,Ust-Nera,RU,23-08-28 14:51:37,64.5667,143.2,54.86,76,15,2.73,few clouds
